epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05986,1.76837,5.33808,1.50997,0.00621,0.23851,0.06765,0.0633,2.38709,7.69297,1.62241,0.000324786,0.000324786,0.000324786
2,14.4499,1.68832,4.39174,1.35551,0.00254,0.36709,0.11112,0.08579,2.38148,5.58685,1.48782,0.000651604,0.000651604,0.000651604
3,20.9438,1.71663,4.14894,1.38453,0.61696,0.18684,0.24588,0.14185,2.36645,4.20803,1.55471,0.000971822,0.000971822,0.000971822
4,27.8896,1.78609,3.85382,1.40551,0.63633,0.28916,0.2456,0.13043,2.28457,3.81721,1.53173,0.0009703,0.0009703,0.0009703
5,38.2068,1.83207,3.74077,1.41917,0.76334,0.31662,0.35135,0.21381,2.2614,3.23327,1.51104,0.0009604,0.0009604,0.0009604
6,49.4838,1.62629,3.23501,1.31715,0.73388,0.44732,0.39009,0.24197,2.15768,3.76423,1.4807,0.0009505,0.0009505,0.0009505
7,60.7157,1.58883,3.00318,1.2989,0.68137,0.39293,0.37678,0.23059,2.24689,3.48334,1.47641,0.0009406,0.0009406,0.0009406
8,71.453,1.69551,2.95417,1.35133,0.55023,0.44225,0.45461,0.23334,2.22362,3.85778,1.46555,0.0009307,0.0009307,0.0009307
9,81.419,1.55796,2.79397,1.29066,0.7172,0.4272,0.46185,0.28953,2.04553,2.68295,1.39305,0.0009208,0.0009208,0.0009208
10,91.3523,1.4834,2.5322,1.24132,0.5879,0.44843,0.47262,0.29078,1.97579,2.73402,1.34893,0.0009109,0.0009109,0.0009109
11,101.112,1.58873,2.6157,1.33423,0.52574,0.51382,0.49278,0.29779,2.06107,2.41677,1.35804,0.000901,0.000901,0.000901
12,110.66,1.46038,2.26848,1.2371,0.57567,0.48987,0.46997,0.30764,1.98693,2.50257,1.32966,0.0008911,0.0008911,0.0008911
13,119.81,1.45274,2.26088,1.22661,0.53229,0.52878,0.55172,0.33652,1.90644,1.98558,1.30251,0.0008812,0.0008812,0.0008812
14,130.299,1.426,2.11052,1.22572,0.61852,0.45309,0.54274,0.33759,1.92161,2.51014,1.29891,0.0008713,0.0008713,0.0008713
15,139.868,1.46967,2.13268,1.20591,0.71401,0.61946,0.63339,0.38929,1.86218,1.96341,1.26361,0.0008614,0.0008614,0.0008614
16,149.544,1.37335,1.90961,1.18843,0.55843,0.67021,0.6175,0.39786,1.85063,1.79591,1.24431,0.0008515,0.0008515,0.0008515
17,160.396,1.41912,2.05574,1.20844,0.52863,0.64153,0.63283,0.40679,1.80865,1.96833,1.23258,0.0008416,0.0008416,0.0008416
18,170.351,1.41354,1.96953,1.20689,0.62705,0.63189,0.61167,0.38909,1.78552,1.7454,1.22231,0.0008317,0.0008317,0.0008317
19,180.051,1.39528,1.88946,1.16265,0.68597,0.60936,0.65167,0.40998,1.80254,1.72107,1.22719,0.0008218,0.0008218,0.0008218
