epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.95313,0.91947,3.75538,1.16226,0.00234,0.44124,0.20647,0.19767,1.52874,3.78216,1.3698,0.00022864,0.00022864,0.00022864
2,7.36381,0.79703,2.24574,1.0427,1,0.23376,0.30631,0.257,1.34575,3.34779,1.2282,0.000466901,0.000466901,0.000466901
3,10.2779,0.86936,1.92141,1.01232,0.0024,0.46728,0.07933,0.04701,1.89141,3.78396,1.67776,0.000700353,0.000700353,0.000700353
4,13.1495,0.94789,1.93927,1.07083,1,0.29929,0.33289,0.30641,1.25457,2.81554,1.19634,0.000928994,0.000928994,0.000928994
5,16.1262,0.88641,1.89505,1.01189,0.99896,0.33333,0.4277,0.33759,1.23311,2.24076,1.19735,0.00115283,0.00115283,0.00115283
6,18.9776,0.85777,1.87221,1.03943,0.98316,0.28788,0.45949,0.35035,1.13775,2.33138,1.1641,0.00135826,0.00135826,0.00135826
7,21.8194,0.82865,1.66629,0.99832,0.70827,0.49686,0.59381,0.4256,1.14459,1.65097,1.13388,0.00134412,0.00134412,0.00134412
8,24.6436,0.90106,1.64485,1.05413,0.90684,0.44654,0.53971,0.39245,1.1002,1.7114,1.12883,0.00132997,0.00132997,0.00132997
9,27.4596,0.94777,1.68681,1.0576,0.75664,0.7193,0.70304,0.50661,1.09066,1.53012,1.12375,0.00131582,0.00131582,0.00131582
10,30.291,0.80158,1.46494,0.95493,0.62604,0.56997,0.71832,0.47642,1.15725,1.64593,1.15493,0.00130168,0.00130168,0.00130168
11,33.3278,0.77586,1.352,0.98954,0.89594,0.62231,0.72568,0.49577,1.15485,1.42662,1.17163,0.00128753,0.00128753,0.00128753
12,36.1621,0.74506,1.24069,0.9478,0.85224,0.66415,0.77985,0.5345,1.02685,1.38671,1.08449,0.00127338,0.00127338,0.00127338
13,39.0009,0.79438,1.24871,0.96059,0.71602,0.81856,0.77568,0.50153,0.99086,1.23194,1.11777,0.00125923,0.00125923,0.00125923
14,41.9364,0.81138,1.25302,1.00259,0.8197,0.70506,0.77396,0.57239,0.893,1.28894,1.04978,0.00124509,0.00124509,0.00124509
15,44.9918,0.78597,1.22901,0.9778,0.75172,0.83052,0.80992,0.59594,0.92527,1.10483,1.07011,0.00123094,0.00123094,0.00123094
16,48.3595,0.72583,1.16465,0.96716,0.62077,0.84442,0.80656,0.58082,0.86299,1.11921,1.03701,0.00121679,0.00121679,0.00121679
17,51.7402,0.71754,1.12186,0.94665,0.80405,0.73342,0.79915,0.60654,0.82703,1.08326,0.9989,0.00120265,0.00120265,0.00120265
18,55.093,0.71104,1.04916,0.95714,0.84183,0.78128,0.83336,0.61306,0.86433,1.00498,1.00627,0.0011885,0.0011885,0.0011885
19,58.3988,0.68061,0.99467,0.95256,0.89348,0.76267,0.87448,0.60696,0.83259,0.92649,1.00825,0.00117435,0.00117435,0.00117435
20,61.72,0.70201,1.03233,0.97688,0.94459,0.78392,0.8781,0.60969,0.81317,0.86095,0.97667,0.00116021,0.00116021,0.00116021
21,64.9833,0.69256,0.93706,0.94402,0.86825,0.86624,0.90663,0.62847,0.82277,0.85647,0.98102,0.00114606,0.00114606,0.00114606
22,68.1959,0.7393,0.97407,0.96801,0.80551,0.89705,0.87608,0.67758,0.79237,0.76652,0.96857,0.00113191,0.00113191,0.00113191
23,71.0925,0.69403,0.9342,0.94369,0.94083,0.77376,0.88189,0.66548,0.81672,0.75669,0.96322,0.00111776,0.00111776,0.00111776
24,73.932,0.60876,0.85509,0.91817,0.85122,0.83908,0.87617,0.63441,0.80757,0.7855,0.97007,0.00110362,0.00110362,0.00110362
25,76.7756,0.67583,0.89726,0.93346,0.85412,0.84679,0.86432,0.63117,0.81039,0.71677,0.97231,0.00108947,0.00108947,0.00108947
26,79.6418,0.6336,0.83312,0.92144,0.90268,0.84622,0.88534,0.65157,0.76315,0.67946,0.95284,0.00107532,0.00107532,0.00107532
27,82.5013,0.63656,0.81423,0.91115,0.88,0.79053,0.87987,0.65739,0.81459,0.71706,0.9911,0.00106118,0.00106118,0.00106118
28,85.3201,0.6685,0.86886,0.93375,0.7604,0.89121,0.86286,0.63307,0.83596,0.65864,0.98412,0.00104703,0.00104703,0.00104703
29,88.2603,0.59257,0.74872,0.91279,0.82608,0.9146,0.88409,0.65478,0.84601,0.6098,0.97767,0.00103288,0.00103288,0.00103288
30,91.2438,0.55644,0.70952,0.90699,0.94497,0.80933,0.88555,0.66866,0.77985,0.63829,0.97206,0.00101873,0.00101873,0.00101873
31,94.1388,0.64088,0.73711,0.93618,0.96777,0.87226,0.9061,0.68314,0.80686,0.66312,0.97448,0.00100459,0.00100459,0.00100459
32,97.009,0.61325,0.77991,0.90279,0.8471,0.94969,0.91237,0.70681,0.73776,0.62914,0.93568,0.00099044,0.00099044,0.00099044
33,99.864,0.59684,0.69876,0.89368,0.85002,0.92585,0.88541,0.70101,0.73291,0.60838,0.92935,0.000976293,0.000976293,0.000976293
34,102.711,0.67746,0.75454,0.92358,0.85404,0.8637,0.90688,0.68152,0.7703,0.69298,0.94393,0.000962146,0.000962146,0.000962146
35,105.59,0.58954,0.6514,0.89888,0.89981,0.83548,0.90457,0.65505,0.84886,0.67862,0.98578,0.000947999,0.000947999,0.000947999
36,108.429,0.65951,0.74809,0.9328,0.85789,0.88812,0.91345,0.67802,0.75342,0.64302,0.94939,0.000933851,0.000933851,0.000933851
37,111.253,0.57712,0.71648,0.93115,0.85482,0.93214,0.89814,0.67202,0.71701,0.58389,0.91763,0.000919704,0.000919704,0.000919704
38,114.075,0.59975,0.6713,0.89347,0.86295,0.93214,0.89872,0.69021,0.69232,0.58382,0.90633,0.000905557,0.000905557,0.000905557
39,116.9,0.59632,0.67768,0.89244,0.85825,0.93214,0.88865,0.7007,0.6775,0.58305,0.91143,0.00089141,0.00089141,0.00089141
40,119.735,0.57109,0.65874,0.90548,0.84181,0.93214,0.88434,0.69841,0.70604,0.60612,0.92395,0.000877263,0.000877263,0.000877263
41,122.744,0.61734,0.65442,0.92378,0.91714,0.89076,0.925,0.73182,0.66,0.52743,0.91294,0.000863116,0.000863116,0.000863116
42,125.598,0.59079,0.63716,0.91188,0.89667,0.8937,0.91898,0.72313,0.67165,0.56965,0.91599,0.000848969,0.000848969,0.000848969
43,128.445,0.57892,0.66222,0.8926,0.84118,0.89199,0.85611,0.6688,0.71337,0.62874,0.92026,0.000834822,0.000834822,0.000834822
44,131.319,0.60108,0.6418,0.92344,0.86363,0.89705,0.87153,0.70782,0.66409,0.58556,0.90249,0.000820675,0.000820675,0.000820675
45,134.135,0.59458,0.61389,0.8944,0.92141,0.89705,0.89879,0.70345,0.66608,0.56017,0.91654,0.000806528,0.000806528,0.000806528
46,136.946,0.62432,0.68366,0.90703,0.94513,0.89705,0.91609,0.7402,0.65134,0.54798,0.90817,0.00079238,0.00079238,0.00079238
47,139.775,0.56399,0.60744,0.92245,0.92382,0.90218,0.9258,0.73214,0.70187,0.53443,0.91085,0.000778233,0.000778233,0.000778233
48,142.631,0.55475,0.58852,0.9278,0.94858,0.90744,0.93133,0.72103,0.66768,0.53392,0.90584,0.000764086,0.000764086,0.000764086
49,145.619,0.56229,0.5937,0.89579,0.90456,0.94183,0.91313,0.71517,0.68708,0.54362,0.90923,0.000749939,0.000749939,0.000749939
50,148.531,0.52736,0.54163,0.88812,0.9068,0.94703,0.90758,0.71063,0.71776,0.5474,0.91875,0.000735792,0.000735792,0.000735792
