epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7747,2.73635,6.33088,1.8907,0.00214,0.23684,0.02474,0.00788,1.85244,7.16948,1.3278,0.0004,0.0004,0.0004
2,17.9944,2.70279,5.5856,1.71058,0.00215,0.26316,0.02637,0.00527,1.83719,7.00835,1.22066,0.000804456,0.000804456,0.000804456
3,23.7299,2.6367,5.41018,1.78287,0.00234,0.51053,0.10899,0.06341,1.77404,6.9823,1.26735,0.00120075,0.00120075,0.00120075
4,29.2845,2.37352,5.62108,1.7042,0.0025,0.56316,0.19485,0.07893,1.81912,7.07716,1.35837,0.00121287,0.00121287,0.00121287
5,34.4881,2.31405,4.99728,1.82359,0.53095,0.07895,0.11906,0.02623,1.62924,7.19512,1.27199,0.0012005,0.0012005,0.0012005
6,39.5849,2.3166,4.80259,1.72252,0.32356,0.27895,0.21795,0.07495,1.81644,10.8244,1.43835,0.00118812,0.00118812,0.00118812
7,44.9831,2.22954,4.2338,1.62944,0.31194,0.38421,0.21187,0.10459,1.71375,20.5293,1.36254,0.00117575,0.00117575,0.00117575
8,50.4107,2.15564,3.60944,1.65092,0.58223,0.36803,0.3495,0.12212,1.74574,8.60405,1.42874,0.00116337,0.00116337,0.00116337
9,55.5407,2.19455,3.81656,1.66965,0.63619,0.39082,0.35103,0.12885,1.75206,5.63824,1.3734,0.001151,0.001151,0.001151
10,60.8381,2.23289,3.91713,1.6624,0.70922,0.38421,0.42714,0.14491,1.74881,5.8302,1.361,0.00113863,0.00113863,0.00113863
11,67.8345,2.16103,3.85946,1.71163,0.57648,0.25083,0.29207,0.08667,1.71641,4.78823,1.36634,0.00112625,0.00112625,0.00112625
12,73.2311,2.05423,3.29703,1.5432,0.74143,0.29895,0.36999,0.1079,1.64723,4.75386,1.33131,0.00111388,0.00111388,0.00111388
13,78.7476,2.11272,3.45926,1.59775,0.70096,0.41652,0.42792,0.14298,1.55061,4.48309,1.23733,0.0011015,0.0011015,0.0011015
14,84.7973,2.18638,3.37235,1.7068,0.73621,0.47213,0.45244,0.12908,1.58853,3.73323,1.29098,0.00108913,0.00108913,0.00108913
15,90.0573,2.03183,2.92163,1.55309,0.46767,0.35251,0.33917,0.09816,1.51472,4.01831,1.26022,0.00107675,0.00107675,0.00107675
16,140.18,2.07631,2.83251,1.6259,0.46194,0.35789,0.4067,0.15568,1.46175,3.12813,1.27179,0.00106437,0.00106437,0.00106437
17,154.942,1.8999,2.89301,1.58957,0.47371,0.51053,0.47491,0.20747,1.37067,2.28752,1.22047,0.001052,0.001052,0.001052
18,160.381,1.87859,2.79857,1.56334,0.75994,0.58947,0.5517,0.20199,1.37598,2.08861,1.25035,0.00103962,0.00103962,0.00103962
19,175.47,2.01325,2.8506,1.5641,0.64555,0.62576,0.59768,0.20752,1.47846,2.07098,1.26613,0.00102725,0.00102725,0.00102725
20,199.262,1.91171,2.41606,1.56723,0.65232,0.4957,0.54597,0.20644,1.51145,1.5776,1.337,0.00101488,0.00101488,0.00101488
21,222.726,1.9466,2.51836,1.55228,0.64729,0.58947,0.49162,0.17093,1.49235,1.74503,1.34627,0.0010025,0.0010025,0.0010025
22,234.17,1.88684,2.56979,1.56121,0.65938,0.54818,0.50748,0.18489,1.44559,1.61583,1.27904,0.000990125,0.000990125,0.000990125
23,239.723,1.85978,2.34061,1.52836,0.66904,0.54211,0.50646,0.21215,1.44569,1.88176,1.2606,0.00097775,0.00097775,0.00097775
24,245.011,1.89229,2.38215,1.5066,0.70618,0.43212,0.45055,0.18722,1.46753,1.4925,1.2607,0.000965375,0.000965375,0.000965375
25,249.991,1.78934,2.80016,1.52587,0.41577,0.50406,0.39587,0.19037,1.48278,1.52917,1.27107,0.000953,0.000953,0.000953
26,255.154,1.77972,2.56955,1.483,0.64511,0.60829,0.59712,0.22908,1.45477,1.49142,1.24911,0.000940625,0.000940625,0.000940625
27,260.722,1.91032,2.22288,1.56663,0.53647,0.56316,0.61301,0.22476,1.46514,1.74117,1.29259,0.00092825,0.00092825,0.00092825
28,265.848,1.79875,2.09757,1.49902,0.42607,0.46316,0.38552,0.1424,1.45771,1.46157,1.28959,0.000915875,0.000915875,0.000915875
29,271.123,1.78635,2.02683,1.51139,0.41428,0.48947,0.45117,0.1832,1.35094,1.26116,1.26604,0.0009035,0.0009035,0.0009035
30,276.244,1.83745,2.1328,1.55566,0.75691,0.37216,0.46141,0.20106,1.33109,1.30955,1.2377,0.000891125,0.000891125,0.000891125
31,281.284,1.6665,1.94513,1.40024,0.6524,0.38421,0.52326,0.23281,1.38875,1.25641,1.23047,0.00087875,0.00087875,0.00087875
32,286.337,1.73927,2.15423,1.41213,0.37986,0.74211,0.53932,0.22687,1.42848,1.56107,1.24574,0.000866375,0.000866375,0.000866375
33,291.493,1.66991,1.96463,1.4378,0.52573,0.4888,0.50156,0.23971,1.38749,1.24964,1.23432,0.000854,0.000854,0.000854
34,296.723,1.68302,1.80733,1.42162,0.47516,0.38483,0.41788,0.22081,1.44121,1.40499,1.28736,0.000841625,0.000841625,0.000841625
35,302.03,1.71119,2.04348,1.41988,0.54129,0.45921,0.4361,0.23776,1.47627,1.37021,1.31529,0.00082925,0.00082925,0.00082925
36,307.381,1.75686,1.95883,1.47412,0.55841,0.46316,0.42228,0.22595,1.47821,1.45905,1.33792,0.000816875,0.000816875,0.000816875
37,312.487,1.58357,2.17386,1.31738,0.75465,0.54211,0.51436,0.2708,1.39592,1.56713,1.28768,0.0008045,0.0008045,0.0008045
38,318.132,1.55113,2.07235,1.32211,0.57818,0.43684,0.46028,0.25388,1.48479,1.49163,1.32533,0.000792125,0.000792125,0.000792125
39,323.529,1.63904,2.10641,1.44234,0.43693,0.50425,0.4558,0.21821,1.4377,1.34041,1.29753,0.00077975,0.00077975,0.00077975
40,329.16,1.66214,1.83023,1.41522,0.5408,0.48947,0.44798,0.22301,1.45405,1.53437,1.307,0.000767375,0.000767375,0.000767375
41,334.41,1.71534,1.6624,1.41825,0.5606,0.44475,0.46846,0.25294,1.36106,1.40769,1.26741,0.000755,0.000755,0.000755
42,339.792,1.62758,1.63067,1.3341,0.5283,0.4897,0.49247,0.27135,1.2778,1.18641,1.22956,0.000742625,0.000742625,0.000742625
43,344.877,1.59007,1.60377,1.36309,0.73849,0.43684,0.51238,0.28857,1.28482,1.19151,1.21421,0.00073025,0.00073025,0.00073025
44,350.105,1.62282,1.6352,1.41855,0.91759,0.46266,0.56199,0.29971,1.34058,1.20827,1.23089,0.000717875,0.000717875,0.000717875
45,355.121,1.67336,1.76109,1.41424,0.90896,0.45407,0.61776,0.25981,1.41709,1.11591,1.22634,0.0007055,0.0007055,0.0007055
46,360.115,1.54551,1.60352,1.36197,0.78999,0.47069,0.59729,0.22673,1.46489,1.1364,1.26825,0.000693125,0.000693125,0.000693125
47,365.421,1.59549,1.55067,1.37777,0.72908,0.45249,0.53217,0.23742,1.41846,1.43505,1.25207,0.00068075,0.00068075,0.00068075
48,370.393,1.6127,1.76448,1.41942,0.48125,0.52357,0.46695,0.22255,1.3877,1.40762,1.23562,0.000668375,0.000668375,0.000668375
49,375.59,1.55967,1.44913,1.3076,0.48187,0.43684,0.42391,0.20758,1.35914,1.24506,1.24041,0.000656,0.000656,0.000656
50,380.611,1.58466,1.52725,1.28306,0.79375,0.30526,0.44123,0.21864,1.31889,1.19986,1.23319,0.000643625,0.000643625,0.000643625
51,386.182,1.60732,1.53317,1.38875,0.47575,0.44989,0.44781,0.20865,1.34274,1.21272,1.23929,0.00063125,0.00063125,0.00063125
52,391.626,1.60759,1.6684,1.40165,0.5438,0.41053,0.42967,0.2108,1.34949,1.10817,1.26414,0.000618875,0.000618875,0.000618875
53,396.66,1.44556,1.39071,1.26161,0.73421,0.42482,0.4855,0.24382,1.34494,1.05573,1.27805,0.0006065,0.0006065,0.0006065
54,401.943,1.54209,1.67377,1.32301,0.46187,0.56457,0.4853,0.22914,1.3647,1.08065,1.25373,0.000594125,0.000594125,0.000594125
55,407.022,1.51733,1.34385,1.30416,0.6609,0.48947,0.55194,0.27372,1.37414,1.02646,1.24874,0.00058175,0.00058175,0.00058175
56,411.94,1.52797,1.75005,1.31135,0.64866,0.51579,0.55386,0.27483,1.34592,1.03582,1.23784,0.000569375,0.000569375,0.000569375
57,417.087,1.47791,1.36091,1.2804,0.67961,0.56815,0.57012,0.28624,1.36172,1.01642,1.25576,0.000557,0.000557,0.000557
58,422.216,1.53436,1.42547,1.28385,0.64282,0.56198,0.53894,0.27563,1.36401,0.98733,1.24958,0.000544625,0.000544625,0.000544625
59,427.648,1.52293,1.66902,1.34661,0.77092,0.46316,0.53696,0.2661,1.35848,1.03853,1.24283,0.00053225,0.00053225,0.00053225
60,432.955,1.45977,1.36605,1.25023,0.71017,0.46316,0.55854,0.2747,1.3565,1.09538,1.23754,0.000519875,0.000519875,0.000519875
61,438.215,1.40822,1.52282,1.26281,0.64246,0.48947,0.54822,0.25643,1.36205,1.04994,1.23575,0.0005075,0.0005075,0.0005075
62,443.592,1.43658,1.34395,1.32853,0.65034,0.4769,0.57189,0.28614,1.32638,1.01559,1.21647,0.000495125,0.000495125,0.000495125
63,449.112,1.3949,1.28932,1.25023,0.65477,0.46316,0.56815,0.33075,1.29993,0.9802,1.23026,0.00048275,0.00048275,0.00048275
64,454.318,1.36705,1.25625,1.21501,0.59917,0.49227,0.50852,0.28906,1.3091,0.92925,1.24796,0.000470375,0.000470375,0.000470375
65,459.711,1.39409,1.25196,1.29094,0.79103,0.41053,0.49619,0.28275,1.28568,0.92845,1.24075,0.000458,0.000458,0.000458
66,464.989,1.40571,1.26181,1.27867,0.54467,0.5219,0.50048,0.278,1.29966,0.92391,1.24131,0.000445625,0.000445625,0.000445625
67,470.217,1.40665,1.35683,1.24043,0.63157,0.50437,0.50067,0.26949,1.27595,0.93306,1.24645,0.00043325,0.00043325,0.00043325
68,483.704,1.46397,1.28453,1.25285,0.58247,0.51579,0.52266,0.26665,1.34167,0.97884,1.27933,0.000420875,0.000420875,0.000420875
69,497.286,1.43808,1.29484,1.23828,0.60178,0.48947,0.52466,0.27916,1.33984,0.91978,1.27008,0.0004085,0.0004085,0.0004085
70,512.185,1.4158,1.23714,1.25338,0.57727,0.51579,0.56255,0.28829,1.36627,0.92193,1.28323,0.000396125,0.000396125,0.000396125
71,525.695,1.36046,1.33538,1.26452,0.7191,0.43684,0.5522,0.30868,1.39074,0.94944,1.30048,0.00038375,0.00038375,0.00038375
72,539.224,1.35241,1.15397,1.25887,0.83433,0.41053,0.55436,0.30313,1.40167,0.9056,1.28912,0.000371375,0.000371375,0.000371375
73,552.685,1.3764,1.16018,1.24047,0.89288,0.41053,0.56128,0.28557,1.42098,0.94858,1.31304,0.000359,0.000359,0.000359
74,566.348,1.34038,1.23943,1.22435,0.56024,0.51579,0.566,0.25591,1.35375,1.00927,1.24275,0.000346625,0.000346625,0.000346625
75,580.216,1.33423,1.18922,1.2454,0.61583,0.51579,0.57381,0.28665,1.35231,1.01648,1.24801,0.00033425,0.00033425,0.00033425
76,593.808,1.32842,1.11964,1.22961,0.63815,0.51579,0.5157,0.24172,1.34554,0.97584,1.26418,0.000321875,0.000321875,0.000321875
77,604.746,1.35404,1.13697,1.23328,0.61258,0.51579,0.51279,0.24744,1.31501,0.96893,1.23243,0.0003095,0.0003095,0.0003095
78,626.244,1.27717,1.20564,1.23699,0.59847,0.49895,0.52995,0.26928,1.3524,0.93449,1.27658,0.000297125,0.000297125,0.000297125
79,647.414,1.35524,1.29385,1.21631,0.56682,0.54211,0.52794,0.26149,1.35568,0.92677,1.27052,0.00028475,0.00028475,0.00028475
80,655.484,1.28663,1.43687,1.2024,0.56396,0.53545,0.53967,0.25996,1.36774,0.93421,1.28397,0.000272375,0.000272375,0.000272375
81,660.677,1.25513,1.06336,1.18242,0.6023,0.51579,0.58228,0.27503,1.34687,0.91115,1.26967,0.00026,0.00026,0.00026
82,665.74,1.35645,1.09906,1.21964,0.60658,0.5801,0.59218,0.29378,1.32983,0.91259,1.25296,0.000247625,0.000247625,0.000247625
83,670.925,1.33818,1.18343,1.23101,0.64523,0.59474,0.60586,0.31031,1.3261,0.92108,1.25251,0.00023525,0.00023525,0.00023525
