epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5055,2.49199,6.12881,1.89799,0.00031,0.09167,0.01562,0.00537,2.1692,4.55754,1.72482,0.0002,0.0002,0.0002
2,15.5166,2.44925,5.53075,1.70661,0.00063,0.21667,0.0173,0.00571,2.32467,4.52387,1.68893,0.000408416,0.000408416,0.000408416
3,19.0561,2.48198,5.16872,1.67312,0.00103,0.46667,0.08989,0.0612,2.2856,4.37572,1.7155,0.000612625,0.000612625,0.000612625
4,22.5425,2.21691,4.57206,1.63545,0.00094,0.375,0.11657,0.06718,2.07404,4.24143,1.66132,0.000812626,0.000812626,0.000812626
5,26.2875,2.02403,5.8535,1.44364,0.00155,0.6,0.26934,0.16712,2.17629,4.04919,1.79543,0.00100842,0.00100842,0.00100842
6,29.8021,2.20003,4.16727,1.60562,0.6564,0.08333,0.12018,0.08383,2.35813,4.23741,1.89535,0.00118812,0.00118812,0.00118812
7,33.4973,2.12223,4.16826,1.54503,0.58918,0.14627,0.21118,0.12085,2.45558,3.96466,2.02254,0.00117575,0.00117575,0.00117575
8,37.1091,2.11575,3.76346,1.60103,0.79199,0.27361,0.34733,0.1638,2.23889,3.41509,1.85423,0.00116337,0.00116337,0.00116337
9,41.66,2.19826,3.78842,1.7267,0.69751,0.35844,0.38571,0.18628,2.24325,3.08839,1.96728,0.001151,0.001151,0.001151
10,45.4686,2.13477,3.50134,1.64743,0.45675,0.46667,0.44617,0.25506,2.16029,2.90511,2.00998,0.00113863,0.00113863,0.00113863
11,49.3959,2.16717,3.58073,1.66365,0.35644,0.59128,0.39743,0.21135,2.39495,4.60527,2.09828,0.00112625,0.00112625,0.00112625
12,53.1451,2.09585,3.30108,1.58683,0.61309,0.43384,0.45737,0.22747,2.25506,2.75862,1.97922,0.00111388,0.00111388,0.00111388
13,56.4022,2.16983,3.06113,1.60014,0.76704,0.40423,0.52562,0.28231,1.97579,2.36615,1.75223,0.0011015,0.0011015,0.0011015
14,60.4,2.07377,2.95755,1.57208,0.31802,0.375,0.37726,0.15384,2.07723,2.63958,1.89076,0.00108913,0.00108913,0.00108913
15,64.526,2.05708,2.86354,1.52592,0.50819,0.49167,0.43939,0.18962,2.15553,2.39596,1.87458,0.00107675,0.00107675,0.00107675
16,70.0057,2.03587,2.8382,1.5584,0.56938,0.50826,0.50813,0.26639,2.04028,2.37107,1.79477,0.00106437,0.00106437,0.00106437
17,73.7743,1.96524,2.90972,1.5277,0.56644,0.41697,0.48004,0.26381,1.96443,2.56096,1.77316,0.001052,0.001052,0.001052
18,77.3124,2.02823,2.9751,1.61052,0.50448,0.39927,0.41901,0.19179,2.1077,2.5542,1.8743,0.00103962,0.00103962,0.00103962
19,80.7238,1.84962,2.50586,1.42858,0.54409,0.54839,0.51467,0.26798,1.96083,2.07283,1.74001,0.00102725,0.00102725,0.00102725
20,84.081,1.84841,2.53054,1.4514,0.65299,0.51191,0.52827,0.26825,1.93694,1.96403,1.67944,0.00101488,0.00101488,0.00101488
