epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3991,2.12542,5.30632,1.65679,0.00258,0.15329,0.10656,0.08779,2.22278,5.93657,1.61234,0.00016362,0.00016362,0.00016362
2,37.9622,1.91069,4.22156,1.43987,0.0023,0.18811,0.09648,0.07294,2.13996,5.40327,1.53052,0.000333,0.000333,0.000333
3,51.9014,1.98936,4.01203,1.43282,1,0.04777,0.10366,0.06617,2.11687,5.11736,1.51987,0.000498961,0.000498961,0.000498961
4,65.9483,1.97152,3.57843,1.48811,1,0.08329,0.26565,0.13606,2.07478,4.6117,1.48725,0.000661502,0.000661502,0.000661502
5,80.1131,1.95969,3.57441,1.45828,0.81685,0.07711,0.33185,0.14355,2.15143,4.17407,1.6026,0.000820623,0.000820623,0.000820623
6,94.1872,1.88298,3.22885,1.42722,0.56016,0.27294,0.40194,0.18717,2.03238,3.8275,1.47462,0.000864004,0.000864004,0.000864004
7,108.253,1.89057,3.21471,1.43358,0.5466,0.24937,0.37852,0.19269,1.92992,3.77944,1.48266,0.000855005,0.000855005,0.000855005
8,122.524,1.80873,2.90506,1.47698,0.54896,0.41339,0.47394,0.19417,1.9603,3.34638,1.49192,0.000846006,0.000846006,0.000846006
9,136.638,1.70604,2.66865,1.34817,0.70456,0.47086,0.56874,0.27618,1.88377,2.85706,1.39115,0.000837007,0.000837007,0.000837007
10,150.833,1.72032,2.53432,1.34684,0.49799,0.53273,0.5518,0.26919,1.83897,2.75363,1.3527,0.000828008,0.000828008,0.000828008
11,165.015,1.65674,2.38251,1.3323,0.59901,0.5109,0.57375,0.28594,1.87651,2.71582,1.43211,0.000819009,0.000819009,0.000819009
12,179.268,1.74557,2.37868,1.35265,0.56366,0.53749,0.57474,0.29066,1.93935,2.59083,1.44436,0.00081001,0.00081001,0.00081001
13,193.536,1.66305,2.28058,1.34163,0.59242,0.63552,0.64167,0.32593,1.81002,2.42651,1.42247,0.000801011,0.000801011,0.000801011
14,207.695,1.67614,2.24979,1.3386,0.61893,0.64243,0.68064,0.3511,1.74263,2.37966,1.35119,0.000792012,0.000792012,0.000792012
15,221.923,1.67237,2.14213,1.3353,0.67089,0.68124,0.7211,0.36856,1.81788,2.16371,1.35669,0.000783013,0.000783013,0.000783013
16,236.339,1.56446,1.92087,1.28936,0.67608,0.69813,0.70211,0.3595,1.78616,2.04462,1.35237,0.000774013,0.000774013,0.000774013
17,250.462,1.64437,2.02682,1.30409,0.71402,0.6702,0.71655,0.37737,1.75177,2.01523,1.33275,0.000765014,0.000765014,0.000765014
18,264.626,1.63788,1.89772,1.27881,0.65812,0.67609,0.71958,0.38736,1.66562,1.97718,1.25656,0.000756015,0.000756015,0.000756015
19,278.715,1.50858,1.75954,1.24623,0.61452,0.7258,0.7356,0.38319,1.69715,1.94359,1.26219,0.000747016,0.000747016,0.000747016
20,292.984,1.56864,1.76904,1.27012,0.67852,0.70916,0.74289,0.41272,1.66913,1.90168,1.26385,0.000738017,0.000738017,0.000738017
