epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.36203,1.7788,4.90144,1.42376,0.00161,0.21399,0.07519,0.03529,1.69802,4.47205,1.44312,0.00015,0.00015,0.00015
2,10.4914,1.78796,4.06189,1.34272,0.00289,0.22579,0.08231,0.0618,1.70949,4.27803,1.37905,0.000306931,0.000306931,0.000306931
3,14.8587,1.66527,3.32993,1.30242,0.00246,0.27589,0.09248,0.05851,1.77062,4.09343,1.38936,0.000460694,0.000460694,0.000460694
4,19.0026,1.66964,3.14777,1.35296,0.00213,0.32599,0.13879,0.09149,1.68104,3.76752,1.4063,0.000611289,0.000611289,0.000611289
5,23.0564,1.5691,2.96698,1.32584,1,0.02157,0.23904,0.14774,1.65071,3.44811,1.45534,0.000758716,0.000758716,0.000758716
6,27.0222,1.60617,2.63381,1.33866,0.70867,0.12872,0.298,0.17449,1.75936,3.05207,1.4596,0.000902975,0.000902975,0.000902975
7,31.1405,1.50699,2.51562,1.29006,0.79143,0.20417,0.31832,0.18345,1.57386,2.61469,1.32955,0.0009406,0.0009406,0.0009406
8,35.046,1.49114,2.43869,1.29986,0.6303,0.42635,0.51233,0.26406,1.61941,2.31624,1.40489,0.0009307,0.0009307,0.0009307
9,38.9673,1.47319,2.33856,1.28408,0.34395,0.55311,0.52214,0.30176,1.65303,2.39441,1.43941,0.0009208,0.0009208,0.0009208
10,43.8511,1.48632,2.25604,1.29525,0.46321,0.66388,0.63033,0.3397,1.60567,2.02563,1.47768,0.0009109,0.0009109,0.0009109
11,47.6673,1.47421,2.15626,1.27475,0.38562,0.64286,0.52451,0.31414,1.58106,1.79543,1.46115,0.000901,0.000901,0.000901
12,51.4708,1.41384,2.01861,1.24978,0.33004,0.58571,0.50095,0.27218,1.63751,1.71486,1.47376,0.0008911,0.0008911,0.0008911
13,55.2255,1.4884,2.04568,1.28078,0.46916,0.82867,0.66919,0.37052,1.67661,1.67833,1.44282,0.0008812,0.0008812,0.0008812
14,59.1037,1.41189,1.82708,1.23045,0.48948,0.75798,0.64993,0.39014,1.62084,1.80066,1.4558,0.0008713,0.0008713,0.0008713
15,62.8456,1.39207,1.91096,1.2694,0.68608,0.62857,0.67429,0.38968,1.6035,1.64978,1.38343,0.0008614,0.0008614,0.0008614
16,66.5885,1.40971,1.84826,1.21991,0.43381,0.80089,0.63327,0.36778,1.57471,1.77345,1.34866,0.0008515,0.0008515,0.0008515
17,70.3722,1.39164,1.8203,1.23758,0.52119,0.80343,0.70507,0.37805,1.58356,1.5455,1.38884,0.0008416,0.0008416,0.0008416
18,74.0784,1.38444,1.71515,1.21682,0.56338,0.71079,0.68902,0.39629,1.5125,1.55675,1.35341,0.0008317,0.0008317,0.0008317
19,77.9222,1.36857,1.62841,1.20973,0.52834,0.61686,0.67333,0.40145,1.41301,1.5487,1.30265,0.0008218,0.0008218,0.0008218
20,81.7108,1.34204,1.65168,1.21792,0.67317,0.6626,0.73715,0.37864,1.47923,1.44726,1.33598,0.0008119,0.0008119,0.0008119
21,85.4749,1.35876,1.59696,1.23743,0.63344,0.79547,0.79961,0.44896,1.4674,1.35858,1.37116,0.000802,0.000802,0.000802
22,89.2709,1.3669,1.56029,1.22302,0.71605,0.66918,0.77149,0.41878,1.57527,1.43842,1.42113,0.0007921,0.0007921,0.0007921
23,93.0224,1.376,1.5103,1.24788,0.66973,0.75647,0.74059,0.46441,1.52927,1.49462,1.43174,0.0007822,0.0007822,0.0007822
24,97.0304,1.41451,1.52102,1.25126,0.64055,0.78718,0.72312,0.44343,1.49431,1.50769,1.37419,0.0007723,0.0007723,0.0007723
25,101.086,1.34313,1.49976,1.19149,0.67351,0.59774,0.71936,0.45168,1.42652,1.34914,1.32444,0.0007624,0.0007624,0.0007624
26,104.905,1.29844,1.4523,1.18336,0.56427,0.69917,0.71781,0.44977,1.42434,1.41766,1.30518,0.0007525,0.0007525,0.0007525
27,108.847,1.30896,1.49955,1.21534,0.60378,0.72399,0.76108,0.51509,1.37107,1.25686,1.30081,0.0007426,0.0007426,0.0007426
28,112.661,1.21249,1.39175,1.16128,0.69512,0.82769,0.81088,0.52105,1.42952,1.25529,1.32234,0.0007327,0.0007327,0.0007327
29,116.526,1.28812,1.36892,1.20017,0.69751,0.72355,0.76205,0.47881,1.42756,1.29296,1.30913,0.0007228,0.0007228,0.0007228
30,120.488,1.34078,1.44781,1.20926,0.75166,0.65403,0.788,0.48007,1.39661,1.27857,1.2951,0.0007129,0.0007129,0.0007129
31,124.296,1.25822,1.34877,1.17106,0.78144,0.6933,0.7519,0.48853,1.38011,1.37109,1.30594,0.000703,0.000703,0.000703
32,128.114,1.27806,1.34429,1.18072,0.59992,0.78661,0.77595,0.51394,1.38362,1.34619,1.32489,0.0006931,0.0006931,0.0006931
33,131.975,1.21246,1.25106,1.1461,0.62171,0.84628,0.77246,0.49251,1.36314,1.28633,1.31927,0.0006832,0.0006832,0.0006832
34,135.746,1.27197,1.29395,1.1904,0.67782,0.71305,0.74544,0.45121,1.3648,1.21787,1.29141,0.0006733,0.0006733,0.0006733
35,139.444,1.26144,1.29723,1.19821,0.63338,0.77044,0.78062,0.50484,1.37316,1.20899,1.28936,0.0006634,0.0006634,0.0006634
36,143.146,1.24419,1.26057,1.16206,0.68789,0.74755,0.76585,0.50132,1.38879,1.24167,1.28951,0.0006535,0.0006535,0.0006535
37,146.895,1.2159,1.20635,1.14709,0.59611,0.89807,0.81523,0.47367,1.40304,1.19333,1.30976,0.0006436,0.0006436,0.0006436
38,150.645,1.22089,1.25829,1.15911,0.7641,0.6697,0.7532,0.47188,1.36301,1.19579,1.27549,0.0006337,0.0006337,0.0006337
39,154.584,1.17022,1.19661,1.14087,0.57056,0.8577,0.78404,0.47715,1.44243,1.19693,1.33739,0.0006238,0.0006238,0.0006238
40,161.636,1.22538,1.16614,1.15984,0.55778,0.8622,0.76639,0.47368,1.44003,1.22618,1.36313,0.0006139,0.0006139,0.0006139
41,168.122,1.20178,1.17149,1.1293,0.55044,0.79329,0.78471,0.49002,1.38599,1.1786,1.35642,0.000604,0.000604,0.000604
42,173.593,1.21773,1.2097,1.13989,0.64611,0.75779,0.76857,0.51635,1.34674,1.23719,1.30813,0.0005941,0.0005941,0.0005941
43,177.337,1.159,1.11103,1.11821,0.62932,0.68562,0.72403,0.49973,1.33018,1.25701,1.32909,0.0005842,0.0005842,0.0005842
44,181.062,1.16543,1.07393,1.1369,0.55154,0.85525,0.77322,0.49867,1.38431,1.199,1.34965,0.0005743,0.0005743,0.0005743
45,184.912,1.17956,1.08232,1.13932,0.5687,0.76779,0.7476,0.47033,1.40314,1.16956,1.36716,0.0005644,0.0005644,0.0005644
