epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41985,1.40041,4.70658,1.19418,0.00185,0.24016,0.06539,0.04756,1.25253,4.26475,1.14099,0.00019,0.00019,0.00019
2,10.4033,1.26353,3.87922,1.10952,0.00365,0.36294,0.11393,0.08488,1.25681,3.81242,1.10749,0.000386139,0.000386139,0.000386139
3,14.4541,1.24716,3.22667,1.07973,0.20216,0.28216,0.15614,0.09936,1.13936,3.39639,1.08213,0.000578318,0.000578318,0.000578318
4,18.3069,1.1956,2.90942,1.09207,0.8088,0.13235,0.32754,0.21593,1.19513,3.04192,1.11929,0.000766537,0.000766537,0.000766537
5,22.5745,1.25661,2.89294,1.12027,0.743,0.22279,0.39728,0.27964,1.11019,2.64679,1.09464,0.000950796,0.000950796,0.000950796
6,26.4444,1.1695,2.55671,1.10266,0.72794,0.50563,0.54795,0.37495,1.15482,2.14332,1.13835,0.0009505,0.0009505,0.0009505
7,30.3376,1.27177,2.59716,1.15264,0.72765,0.63403,0.66794,0.43872,1.1824,2.14407,1.10073,0.0009406,0.0009406,0.0009406
8,34.2986,1.17851,2.31726,1.0655,0.62744,0.76077,0.70071,0.44998,1.21117,1.93726,1.15452,0.0009307,0.0009307,0.0009307
9,38.2837,1.11074,2.26851,1.05858,0.6513,0.82553,0.82694,0.55471,1.07668,1.5358,1.10382,0.0009208,0.0009208,0.0009208
10,42.1937,1.127,2.04271,1.08884,0.69246,0.84333,0.84184,0.5615,1.08286,1.51727,1.09207,0.0009109,0.0009109,0.0009109
11,46.1202,1.19875,2.17948,1.10568,0.9205,0.74637,0.90655,0.59743,1.06213,1.22266,1.07803,0.000901,0.000901,0.000901
12,49.9225,1.02953,1.9238,1.04624,0.86425,0.84645,0.92369,0.6098,1.02511,1.27386,1.08967,0.0008911,0.0008911,0.0008911
13,53.83,1.07109,1.86045,1.05929,0.87419,0.88251,0.93464,0.67736,0.97027,1.1126,1.06325,0.0008812,0.0008812,0.0008812
14,57.5529,1.03303,1.83076,1.0409,0.88207,0.90272,0.93699,0.65277,0.94757,1.14818,1.05035,0.0008713,0.0008713,0.0008713
15,61.3991,0.99706,1.69931,1.0364,0.92863,0.80164,0.94009,0.67416,0.91708,1.00522,1.03157,0.0008614,0.0008614,0.0008614
16,65.1539,1.0026,1.71848,1.04331,0.91878,0.80416,0.92905,0.66786,0.92771,0.95533,1.04092,0.0008515,0.0008515,0.0008515
17,69.0995,0.9893,1.58794,1.02456,0.86361,0.86204,0.92782,0.67085,0.9167,1.00347,1.02734,0.0008416,0.0008416,0.0008416
18,72.7572,0.90482,1.49038,0.97072,0.90628,0.87579,0.94698,0.67341,0.87919,0.89831,1.01171,0.0008317,0.0008317,0.0008317
