epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.77629,1.19895,4.53856,1.15191,0.00198,0.25,0.10388,0.06223,1.27382,4.28791,1.20137,0.00015,0.00015,0.00015
2,11.0923,1.47589,4.30793,1.20987,0.00479,0.31667,0.11016,0.06794,1.14202,3.97122,1.09122,0.000306931,0.000306931,0.000306931
3,14.5839,1.36977,3.70288,1.13123,0.00333,0.37917,0.14997,0.08961,1.07412,3.79157,1.07987,0.000460694,0.000460694,0.000460694
4,17.6233,1.26171,3.10545,1.09574,0.63581,0.37917,0.27797,0.1412,1.27382,3.3885,1.10261,0.000611289,0.000611289,0.000611289
5,20.9428,1.19074,2.90939,1.11339,0.00363,0.62222,0.45953,0.24707,1.30619,3.28086,1.15409,0.000758716,0.000758716,0.000758716
6,24.059,1.28272,3.02784,1.13482,0.92693,0.05,0.35666,0.21874,1.19483,3.17271,1.13336,0.000902975,0.000902975,0.000902975
7,27.2122,1.19556,2.74826,1.16544,0.5963,0.30846,0.49438,0.29536,1.08725,2.86281,1.15074,0.0009406,0.0009406,0.0009406
8,30.406,1.17301,2.54798,1.099,0.58998,0.46174,0.71966,0.48906,1.12629,2.51952,1.17832,0.0009307,0.0009307,0.0009307
9,33.568,1.23535,2.47363,1.1021,0.77471,0.54508,0.65071,0.43116,1.18158,2.29976,1.20481,0.0009208,0.0009208,0.0009208
10,36.7096,1.1542,2.36201,1.09374,0.81971,0.57435,0.69496,0.46225,1.30012,1.68449,1.26212,0.0009109,0.0009109,0.0009109
11,39.8155,1.10849,2.27913,1.09555,0.65471,0.77646,0.73198,0.48666,1.17677,1.72184,1.16241,0.000901,0.000901,0.000901
12,42.7989,1.1271,2.20718,1.12126,0.88733,0.59426,0.72421,0.43768,1.10555,1.74687,1.1679,0.0008911,0.0008911,0.0008911
13,46.1506,1.10701,2.07663,1.08011,0.8553,0.55278,0.83306,0.52125,1.0456,1.52013,1.12199,0.0008812,0.0008812,0.0008812
14,49.381,1.13006,1.94116,1.07938,0.76218,0.57485,0.82939,0.5264,1.05794,1.5849,1.1197,0.0008713,0.0008713,0.0008713
15,52.5405,1.1581,1.9826,1.08761,0.73005,0.77705,0.85492,0.52955,1.03145,1.61963,1.09957,0.0008614,0.0008614,0.0008614
16,55.7818,1.03259,1.8433,1.05886,0.76304,0.76829,0.87527,0.55378,1.04168,1.66965,1.13161,0.0008515,0.0008515,0.0008515
17,58.9088,1.00274,1.75731,1.03213,0.91612,0.75089,0.89331,0.56501,1.06415,1.47326,1.11142,0.0008416,0.0008416,0.0008416
18,62.1593,1.06098,1.80984,1.12734,0.96895,0.78127,0.94694,0.63408,0.96121,1.13804,1.07779,0.0008317,0.0008317,0.0008317
19,65.5435,0.94518,1.584,1.03241,0.95051,0.78715,0.9419,0.57058,1.41712,1.32614,1.4097,0.0008218,0.0008218,0.0008218
20,68.7512,0.95681,1.54083,1.01668,0.9516,0.8019,0.94987,0.60051,1.045,1.27184,1.07199,0.0008119,0.0008119,0.0008119
21,71.8393,0.98462,1.60583,1.03411,0.91034,0.84167,0.95759,0.62723,1.09424,1.01799,1.11543,0.000802,0.000802,0.000802
22,74.9601,0.95229,1.46422,1.00653,0.91268,0.86038,0.97354,0.69029,0.91581,0.84899,1.0505,0.0007921,0.0007921,0.0007921
