epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.649,1.35276,4.61798,1.15764,0.00291,0.30972,0.07013,0.05259,1.18709,4.21427,1.10243,0.00019,0.00019,0.00019
2,34.071,1.29167,4.01642,1.1495,0.00376,0.33004,0.11191,0.08434,1.14868,4.03363,1.09961,0.000386139,0.000386139,0.000386139
3,38.1974,1.3314,3.50285,1.08311,0.89937,0.06126,0.11581,0.08147,1.19555,3.61799,1.11009,0.000578318,0.000578318,0.000578318
4,42.4322,1.3137,3.17896,1.11388,0.92536,0.06333,0.28092,0.206,1.30303,3.25754,1.15344,0.000766537,0.000766537,0.000766537
5,46.6671,1.37681,3.14181,1.12762,0.80272,0.28563,0.33503,0.22476,1.27265,2.9107,1.17536,0.000950796,0.000950796,0.000950796
6,50.9215,1.30646,2.80434,1.13503,0.77008,0.38154,0.45878,0.29791,1.24965,2.54541,1.1426,0.0009505,0.0009505,0.0009505
7,55.2694,1.4478,2.97449,1.21064,0.73112,0.47864,0.60687,0.38577,1.28089,2.13189,1.14849,0.0009406,0.0009406,0.0009406
8,59.4306,1.25205,2.5937,1.10413,0.84067,0.4785,0.73195,0.47251,1.20615,1.93622,1.15235,0.0009307,0.0009307,0.0009307
9,63.9077,1.22954,2.56313,1.11419,0.61189,0.87098,0.77118,0.47812,1.15054,1.83291,1.12222,0.0009208,0.0009208,0.0009208
10,68.0434,1.2037,2.33955,1.10586,0.69262,0.86098,0.81577,0.53978,1.16225,1.76559,1.14014,0.0009109,0.0009109,0.0009109
11,72.1581,1.25115,2.28504,1.10938,0.82532,0.76383,0.8294,0.56867,1.12879,1.5273,1.11036,0.000901,0.000901,0.000901
12,76.1412,1.10742,2.14941,1.07214,0.92639,0.76368,0.87267,0.59609,1.08473,1.2949,1.08603,0.0008911,0.0008911,0.0008911
13,80.3322,1.09213,2.11652,1.06161,0.81102,0.8763,0.90083,0.60953,1.03898,1.364,1.08176,0.0008812,0.0008812,0.0008812
14,84.5352,1.09335,2.09172,1.06612,0.92061,0.84374,0.90818,0.66009,0.98913,1.18517,1.05553,0.0008713,0.0008713,0.0008713
15,88.6575,1.0545,1.95706,1.06015,0.87319,0.89954,0.93304,0.68571,1.00299,1.26331,1.07197,0.0008614,0.0008614,0.0008614
16,92.7771,1.06968,1.89085,1.06976,0.94874,0.8759,0.93888,0.69677,0.98038,1.05557,1.06366,0.0008515,0.0008515,0.0008515
17,96.9052,1.07676,1.81692,1.04745,0.92896,0.85787,0.95278,0.7032,0.9726,0.96211,1.06205,0.0008416,0.0008416,0.0008416
18,101.202,0.98066,1.69973,0.98679,0.89329,0.88829,0.96085,0.71918,0.93379,1.00846,1.03324,0.0008317,0.0008317,0.0008317
19,105.522,1.02029,1.61672,1.04189,0.9125,0.90201,0.96567,0.70876,0.9146,0.97393,1.00091,0.0008218,0.0008218,0.0008218
20,109.78,0.99936,1.60061,1.03193,0.91119,0.92724,0.94829,0.70176,0.8912,0.96037,0.98702,0.0008119,0.0008119,0.0008119
21,114.367,1.00691,1.58301,1.02335,0.94258,0.91327,0.97788,0.7376,0.86503,0.88458,0.97249,0.000802,0.000802,0.000802
22,118.561,1.05815,1.62255,1.02435,0.96685,0.93176,0.98386,0.71752,0.90202,0.8906,0.99072,0.0007921,0.0007921,0.0007921
