epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6081,1.17917,4.53121,1.13557,0.00242,0.3,0.13488,0.09199,1.18531,4.31771,1.14006,0.00015,0.00015,0.00015
2,41.1077,1.37824,4.38589,1.15522,0.0035,0.33333,0.19016,0.12442,1.18587,4.1797,1.11264,0.000306931,0.000306931,0.000306931
3,45.7268,1.34461,3.92943,1.13184,0.006,0.33333,0.16812,0.09151,1.40344,4.21247,1.22557,0.000460694,0.000460694,0.000460694
4,49.8083,1.32872,3.3089,1.08296,0.0045,0.42361,0.2271,0.12468,1.35369,3.91827,1.19449,0.000611289,0.000611289,0.000611289
5,54.2491,1.27021,3.21304,1.118,0.87588,0.13026,0.23291,0.12946,1.34798,3.76247,1.22612,0.000758716,0.000758716,0.000758716
6,58.4671,1.34723,3.2639,1.17342,0.81629,0.19793,0.33217,0.14318,1.081,3.38579,1.14847,0.000902975,0.000902975,0.000902975
7,62.9111,1.23014,2.99811,1.13747,0.82235,0.26491,0.47604,0.30453,1.11464,3.13738,1.16742,0.0009406,0.0009406,0.0009406
8,67.0495,1.21308,2.76339,1.12301,0.83167,0.5272,0.60072,0.39299,1.31796,2.72638,1.2187,0.0009307,0.0009307,0.0009307
9,71.0784,1.25292,2.66548,1.10866,0.76099,0.55654,0.71041,0.46119,1.15718,2.47773,1.11261,0.0009208,0.0009208,0.0009208
10,75.0314,1.18519,2.64567,1.06452,0.72426,0.70158,0.72159,0.45895,1.22606,2.47882,1.17125,0.0009109,0.0009109,0.0009109
11,78.9973,1.24575,2.57248,1.12061,0.76981,0.74664,0.78065,0.5166,1.2331,2.28629,1.20297,0.000901,0.000901,0.000901
12,82.8372,1.20536,2.43048,1.09149,0.62095,0.75258,0.76121,0.51628,1.14722,2.42966,1.12191,0.0008911,0.0008911,0.0008911
13,86.874,1.16782,2.33963,1.06046,0.9287,0.48204,0.73001,0.48748,1.07485,1.99729,1.14142,0.0008812,0.0008812,0.0008812
14,89.9363,1.16258,2.21578,1.0431,0.66568,0.77917,0.84143,0.55851,1.17281,1.71321,1.18472,0.0008713,0.0008713,0.0008713
15,92.6383,1.17709,2.21853,1.05142,0.89063,0.67852,0.87047,0.60067,1.15487,1.77838,1.16885,0.0008614,0.0008614,0.0008614
16,95.532,1.15895,2.16025,1.05153,0.85834,0.6779,0.83178,0.53945,1.20634,1.84079,1.20466,0.0008515,0.0008515,0.0008515
17,98.5372,1.13115,1.9816,1.04389,0.69572,0.79028,0.84251,0.53584,1.21774,1.6276,1.26195,0.0008416,0.0008416,0.0008416
18,101.415,1.07263,1.93593,1.0427,0.89789,0.70713,0.83343,0.54427,1.16282,1.67303,1.18583,0.0008317,0.0008317,0.0008317
19,104.329,1.02771,1.88909,1.00386,0.92532,0.79583,0.85383,0.56324,1.15463,2.01078,1.21169,0.0008218,0.0008218,0.0008218
20,107.11,1.00083,1.80167,1.00127,0.94693,0.73133,0.86234,0.58803,1.08831,1.55954,1.14839,0.0008119,0.0008119,0.0008119
21,109.912,1.09115,1.83554,1.03576,0.82763,0.72461,0.87552,0.5734,1.01301,1.54185,1.09479,0.000802,0.000802,0.000802
22,112.813,0.98788,1.7244,0.98809,0.96082,0.67839,0.85114,0.57884,1.05802,1.58826,1.15012,0.0007921,0.0007921,0.0007921
23,115.619,1.00571,1.87976,1.00275,0.85292,0.78011,0.89447,0.59765,1.15087,1.41513,1.17686,0.0007822,0.0007822,0.0007822
24,118.456,0.96332,1.63271,0.98995,0.85446,0.82359,0.91034,0.59612,1.31589,1.40397,1.32606,0.0007723,0.0007723,0.0007723
25,121.678,0.97757,1.62908,1.00738,0.93792,0.82766,0.92491,0.62788,1.02111,1.16241,1.11599,0.0007624,0.0007624,0.0007624
26,124.908,0.95966,1.58397,0.98882,0.7936,0.85115,0.91957,0.62893,0.99772,1.47432,1.09971,0.0007525,0.0007525,0.0007525
27,128.632,0.94854,1.55573,0.99228,0.8119,0.81349,0.90929,0.64725,0.95793,1.42025,1.09833,0.0007426,0.0007426,0.0007426
28,131.987,0.93543,1.45205,0.97231,0.70462,0.93021,0.95114,0.66903,0.98507,1.29756,1.11456,0.0007327,0.0007327,0.0007327
29,135.644,0.95119,1.39995,0.97332,0.85656,0.85834,0.96506,0.65311,0.98545,1.22526,1.09602,0.0007228,0.0007228,0.0007228
30,139.694,0.89687,1.34237,0.95367,0.7079,0.89671,0.96643,0.69096,0.97978,1.33308,1.10926,0.0007129,0.0007129,0.0007129
31,143.277,0.96436,1.50914,0.98379,0.85871,0.86825,0.96071,0.69625,1.00188,1.35549,1.14049,0.000703,0.000703,0.000703
32,146.808,0.90529,1.4291,0.98052,0.92646,0.88198,0.95539,0.66625,0.99324,1.26137,1.12966,0.0006931,0.0006931,0.0006931
